=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===
RESULT sparse_ts=1 interval=20 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=43 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=21 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=45 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=22 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=47 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=23 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=49 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=24 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=51 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=25 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=53 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=26 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=55 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=27 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=57 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=28 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=59 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=29 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=61 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=30 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=63 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=31 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=65 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=32 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=67 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=33 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=69 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=34 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=71 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=35 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=73 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=36 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=75 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=37 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=77 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=38 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=79 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=39 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=81 released_cum=4 rss_kib=11392
RESULT sparse_config=1 events=1 arm=unthrottled intervals=40 headroom_bytes=16777216 obj_bytes=2097152 decay_interval_ms=100 decay_rate_bp=1000 stride=64 catchup_max=8 slots=8 verified_headroom=16777216 verified_interval_ms=100 config_conflicts_delta=0 used_baseline=33554432 guard_passed_baseline=1 released_baseline=0 rss_baseline_kib=19580 guard_passed_delta=80 released_delta=4 headroom_crossed=1 unthrottled_read=1 catchup_active=1 process_identity=subprocess
RESULT sparse_oracle=1 events=1 arm=unthrottled oracle_pass=1
--- sparse events=2 arm=throttled ---
RESULT sparse_ts=1 interval=0 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=1 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=2 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=3 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=4 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=5 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=6 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=7 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=8 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=9 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=10 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=11 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=12 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=13 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
RESULT sparse_ts=1 interval=14 events=2 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19592
